"id","data_inversa","br","municipio","tipo_acidente"
"263255","1/17/2020","116","PONTO DOS VOLANTES","Saída de leito carroçável"
"263263","1/17/2020","40","ITABIRITO","Saída de leito carroçável"
"263264","1/17/2020","40","ITABIRITO","Saída de leito carroçável"
"263270","1/16/2020","381","NOVA UNIAO","Tombamento"
"263279","1/17/2020","251","GRAO MOGOL","Colisão frontal"
"263295","1/17/2020","381","BETIM","Colisão traseira"
"263298","1/17/2020","381","CAMBUI","Saída de leito carroçável"
"263312","1/17/2020","381","ITAGUARA","Colisão traseira"
"263317","1/17/2020","262","JUATUBA","Saída de leito carroçável"
"263324","1/17/2020","381","TRES CORACOES","Saída de leito carroçável"
"263331","1/17/2020","262","BOM DESPACHO","Saída de leito carroçável"
"263332","1/17/2020","381","BETIM","Colisão traseira"
"263342","1/17/2020","40","CARANDAI","Colisão transversal"
"263348","1/17/2020","381","EXTREMA","Tombamento"
"263367","1/17/2020","381","JOAO MONLEVADE","Saída de leito carroçável"
"263383","1/17/2020","381","CAETE","Colisão frontal"
"263402","1/17/2020","40","PARACATU","Colisão transversal"
"263422","1/17/2020","50","ARAGUARI","Tombamento"
"263436","1/17/2020","262","CORREGO DANTA","Tombamento"
"263440","1/17/2020","262","SACRAMENTO","Colisão transversal"
"263445","1/17/2020","40","CONGONHAS","Engavetamento"
"263447","1/17/2020","116","FERVEDOURO","Atropelamento de Pedestre"
"263449","1/17/2020","40","RIBEIRAO DAS NEVES","Colisão traseira"
"263456","1/17/2020","381","BETIM","Colisão com objeto estático"
"263461","1/17/2020","40","JUIZ DE FORA","Colisão lateral"
"263462","1/17/2020","381","CONTAGEM","Colisão traseira"
"263476","1/17/2020","381","BETIM","Colisão com objeto estático"
"263478","1/17/2020","50","UBERABA","Capotamento"
"263483","1/18/2020","40","RIBEIRAO DAS NEVES","Atropelamento de Pedestre"
"263492","1/18/2020","381","SABARA","Saída de leito carroçável"
"263499","1/18/2020","50","UBERABA","Colisão com objeto estático"
"263503","1/18/2020","40","FELIXLANDIA","Colisão lateral"
"263506","1/18/2020","381","CAMBUI","Capotamento"
"263511","1/18/2020","381","BETIM","Colisão com objeto estático"
"263513","1/18/2020","381","POUSO ALEGRE","Saída de leito carroçável"
"263518","1/18/2020","262","JUATUBA","Tombamento"
"263531","1/18/2020","116","CARAI","Colisão com objeto estático"
"263548","1/18/2020","381","JOAO MONLEVADE","Saída de leito carroçável"
"263558","1/18/2020","116","PONTO DOS VOLANTES","Colisão transversal"
"263571","1/18/2020","381","SAO GONCALO DO RIO ABAIXO","Tombamento"
"263589","1/18/2020","262","MANHUACU","Colisão traseira"
"263591","1/18/2020","365","MONTES CLAROS","Colisão lateral"
"263602","1/18/2020","381","CAMANDUCAIA","Colisão traseira"
"263603","1/18/2020","262","SACRAMENTO","Colisão transversal"
"263605","1/18/2020","40","CONTAGEM","Colisão transversal"
"263614","1/18/2020","116","MURIAE","Colisão lateral"
"263636","1/18/2020","381","ITATIAIUCU","Tombamento"
